Filename,MPI_Procs,Memory(MB),OMP_Threads,Time(s)
data/data_50M_p512.bin,1,10240,16,184.838
data/data_50M_p512.bin,1,10240,8,118.453
data/data_50M_p512.bin,1,10240,4,70.8762
data/data_50M_p512.bin,1,10240,1,124.841
data/data_50M_p512.bin,2,10240,16,278.751
data/data_50M_p512.bin,2,10240,8,228.723
data/data_50M_p512.bin,2,10240,4,200.378
data/data_50M_p512.bin,2,10240,1,211.856
data/data_50M_p512.bin,4,10240,16,645.291
data/data_50M_p512.bin,4,10240,8,762.191
data/data_50M_p512.bin,4,10240,4,615.128
data/data_50M_p512.bin,4,10240,1,307.6
data/data_50M_p512.bin,8,10240,16,420.971
data/data_50M_p512.bin,8,10240,8,409.542
data/data_50M_p512.bin,8,10240,4,318.206
data/data_50M_p512.bin,8,10240,1,280.649
